Report,Timeframe,Period,Type,Geography,Current Year Week Ending,ASP Current Year,Total Bulk and Bags,4046,4225,4770,TotalBagged,Sml Bagged,Lrg Bagged,X-Lrg Bagged,Unknown Bag Size
Category,Weekly,52,Conventional,5 Boroughs/New York City,2023/12/31,1.390753842,508501.7376,33465.24396,296522.8853,126.5804105,178387.0279,159513.0071,6627.608275,589.8375,11656.57505
Category,Weekly,51,Conventional,5 Boroughs/New York City,2023/12/24,1.427333386,486057.7822,45922.08227,240939.2087,130.1660642,199066.3251,178055.9345,8888.953821,578.8125,11542.62431
Category,Weekly,50,Conventional,5 Boroughs/New York City,2023/12/17,1.189202025,686271.8169,62607.93532,409229.4101,296.4024784,214138.069,175760.781,27876.5386,531.95625,9968.793161
Category,Weekly,49,Conventional,5 Boroughs/New York City,2023/12/10,1.351731331,532273.1245,70280.25698,242532.9212,168.9272341,219291.019,183258.6127,23484.36155,956.41875,11591.62595
Category,Weekly,48,Conventional,5 Boroughs/New York City,2023/12/03,1.257482141,592452.9512,60883.44333,318790.5028,155.7250616,212623.28,189919.6643,9051.13279,633.9375,13018.54544
Category,Weekly,47,Conventional,5 Boroughs/New York City,2023/11/26,1.357585855,385705.2639,47188.42999,155798.8579,67.09409295,182650.8818,162311.4201,10032.51384,826.875,9480.072869
Category,Weekly,46,Conventional,5 Boroughs/New York City,2023/11/19,1.407895499,524875.0227,52041.85535,253926.6206,104.3361862,218802.2106,203756.5899,2922.393448,658.74375,11464.48345
Category,Weekly,45,Conventional,5 Boroughs/New York City,2023/11/12,1.361503994,579808.4784,58577.8654,303012.8281,98.06739679,218119.7175,205463.0303,68.98535577,259.0875,12328.61432
Category,Weekly,44,Conventional,5 Boroughs/New York City,2023/11/05,1.378247222,521840.9465,58107.38107,238318.6148,73.95374217,225340.9969,214091.9754,69.56628508,30.65173697,11148.80351
Category,Weekly,43,Conventional,5 Boroughs/New York City,2023/10/29,1.226886159,642658.4061,73619.09045,345930.538,125.0467532,222983.731,209434.3973,2841.29286,0.0,10708.04082
Category,Weekly,42,Conventional,5 Boroughs/New York City,2023/10/22,1.27551157,670142.5058,87908.37957,355095.008,97.90241107,227041.2158,214437.7105,67.12968237,0.0,12536.37563
Category,Weekly,41,Conventional,5 Boroughs/New York City,2023/10/15,1.269932605,605240.7866,128632.3086,244754.7053,87.86033559,231765.9124,218306.0571,377.3767177,0.0,13082.47858
Category,Weekly,40,Conventional,5 Boroughs/New York City,2023/10/08,1.465411883,659128.0259,104612.4103,328458.7618,51.07934265,226005.7744,201182.2677,8571.291202,237.0375,16015.178
Category,Weekly,39,Conventional,5 Boroughs/New York City,2023/10/01,1.424134614,533160.6679,92740.82179,207393.3891,59.51598881,232966.941,207642.7433,8898.795111,1245.825,15179.57764
Category,Weekly,38,Conventional,5 Boroughs/New York City,2023/09/24,1.245868809,634356.3089,138950.6617,305874.2803,71.35062524,189460.0164,162377.215,10750.3743,1014.3,15318.12704
Category,Weekly,37,Conventional,5 Boroughs/New York City,2023/09/17,1.451488649,550695.8817,104739.9186,231658.2518,95.84410047,214201.8673,182307.3718,15247.07753,1168.65,15478.76794
Category,Weekly,36,Conventional,5 Boroughs/New York City,2023/09/10,1.346458498,614303.8275,100105.9417,300778.8426,109.1885604,213309.8546,192812.9307,3529.924788,1171.40625,15795.59279
Category,Weekly,35,Conventional,5 Boroughs/New York City,2023/09/03,1.410402677,511493.7336,87606.1242,209009.0079,88.60247429,214789.9991,191305.0883,8594.077939,950.90625,13939.92654
Category,Weekly,34,Conventional,5 Boroughs/New York City,2023/08/27,1.286559351,596447.9575,95555.41597,292875.4167,108.8463024,207908.2785,185259.6532,7283.937288,876.4875,14488.20052
Category,Weekly,33,Conventional,5 Boroughs/New York City,2023/08/20,1.406557796,529401.5645,75950.04581,221227.5613,117.9949909,232105.9624,211379.699,5639.969044,802.06875,14284.22561
Category,Weekly,32,Conventional,5 Boroughs/New York City,2023/08/13,1.328246653,609899.3009,76307.17547,307199.0254,100.6366224,226292.4635,204469.8255,5824.406849,829.63125,15168.59985
Category,Weekly,31,Conventional,5 Boroughs/New York City,2023/08/06,1.400977479,564972.6895,58122.48768,279803.1802,113.9442756,226933.0774,210058.0418,142.8595202,658.74375,16073.43233
Category,Weekly,30,Conventional,5 Boroughs/New York City,2023/07/30,1.27857336,650985.0051,72642.05303,371319.0103,84.03677437,206939.905,190952.5315,412.3273337,810.3375,14764.70869
Category,Weekly,29,Conventional,5 Boroughs/New York City,2023/07/23,1.367164763,543070.9022,59870.72697,265825.2981,121.7342668,217253.1429,201474.523,765.5236886,661.5,14351.59625
Category,Weekly,28,Conventional,5 Boroughs/New York City,2023/07/16,1.317518635,659767.6038,68332.7081,351554.0779,143.3448339,239737.4729,219056.3119,4371.251459,873.73125,15436.17836
Category,Weekly,27,Conventional,5 Boroughs/New York City,2023/07/09,1.345739561,577828.6145,76018.32624,266392.3761,112.2870883,235305.625,205081.0998,2790.570354,1074.9375,26359.01735
Category,Weekly,26,Conventional,5 Boroughs/New York City,2023/07/02,1.279652386,629567.3565,71985.80841,325366.2837,115.2724893,232099.992,197784.1011,5247.264324,730.40625,28338.22031
Category,Weekly,25,Conventional,5 Boroughs/New York City,2023/06/25,1.290485755,567105.9662,66225.58806,225413.216,142.0338593,275325.1283,243294.4484,12277.98331,766.2375,18986.45907
Category,Weekly,24,Conventional,5 Boroughs/New York City,2023/06/18,1.070698273,783740.2145,79689.83596,443912.4625,141.253882,259996.6622,222274.2947,19549.32352,330.75,17842.29398
Category,Weekly,23,Conventional,5 Boroughs/New York City,2023/06/11,1.375387399,614612.0032,69521.67571,289235.8608,159.9407264,255694.5259,223711.113,13613.9394,0.0,18369.47356
Category,Weekly,22,Conventional,5 Boroughs/New York City,2023/06/04,1.271779141,709653.0528,79405.44157,386760.2773,227.2352241,243260.0988,205547.3591,12203.15406,0.0,25509.58566
Category,Weekly,21,Conventional,5 Boroughs/New York City,2023/05/28,1.252797795,686944.5384,65674.50381,354499.4628,188.5138611,266582.058,236607.6713,9573.935209,0.0,20400.45141
Category,Weekly,20,Conventional,5 Boroughs/New York City,2023/05/21,1.367394447,639013.5568,74427.2702,296128.9716,559.0694311,267898.2455,240864.3859,3877.433629,0.0,23156.42599
Category,Weekly,19,Conventional,5 Boroughs/New York City,2023/05/14,1.321015585,688006.6319,76751.51009,290496.1224,5548.766435,315210.233,287461.4755,1645.16641,0.0,26103.59104
Category,Weekly,18,Conventional,5 Boroughs/New York City,2023/05/07,1.115321735,847936.8898,70387.00302,459333.1584,154.4584783,318062.2699,285655.5734,3243.622765,0.0,29163.07372
Category,Weekly,17,Conventional,5 Boroughs/New York City,2023/04/30,1.255829637,762054.6136,73785.51866,414907.3915,135.6718285,273226.0317,243208.5768,1210.275676,0.0,28807.1792
Category,Weekly,16,Conventional,5 Boroughs/New York City,2023/04/23,1.3545091,644686.1448,69873.48125,304729.288,151.2665537,269932.109,238896.9298,8416.143164,0.0,22619.03603
Category,Weekly,15,Conventional,5 Boroughs/New York City,2023/04/16,1.253659682,744071.4482,75183.93684,409870.8912,92.21733698,258924.4028,232199.6651,3882.277474,0.0,22842.46027
Category,Weekly,14,Conventional,5 Boroughs/New York City,2023/04/09,1.365708197,666570.7533,60638.80306,364710.3467,1540.371702,239681.2318,218722.4422,1091.655318,0.0,19867.13426
Category,Weekly,13,Conventional,5 Boroughs/New York City,2023/04/02,1.323185171,657648.7434,64799.46775,307843.5891,126.2751138,284879.4115,249361.1925,519.5344078,0.0,34998.68457
Category,Weekly,12,Conventional,5 Boroughs/New York City,2023/03/26,1.15406925,834394.042,82073.4629,480030.3549,94.22597833,272195.9982,241570.4534,7965.28585,0.0,22660.25898
Category,Weekly,11,Conventional,5 Boroughs/New York City,2023/03/19,1.307221731,635209.7828,74667.28166,294722.1408,80.89106555,265739.4693,237354.9343,4465.086898,0.0,23919.44811
Category,Weekly,10,Conventional,5 Boroughs/New York City,2023/03/12,1.258883707,662217.7128,69097.34177,323104.3175,142.3615778,269873.692,240438.8733,3245.174849,0.0,26189.64387
Category,Weekly,9,Conventional,5 Boroughs/New York City,2023/03/05,1.264156261,640910.1443,65299.11932,308900.9125,95.77616894,266614.3363,240113.5846,4277.412001,0.0,22223.33972
Category,Weekly,8,Conventional,5 Boroughs/New York City,2023/02/26,1.166244627,743979.4245,71102.64493,422623.0042,253.3142362,250000.4611,222527.2309,2237.659667,0.0,25235.57048
Category,Weekly,7,Conventional,5 Boroughs/New York City,2023/02/19,1.321806003,652356.3564,74973.98794,326944.6755,103.3758453,250334.3171,217620.8333,1627.337362,0.0,31086.14643
Category,Weekly,6,Conventional,5 Boroughs/New York City,2023/02/12,1.333749681,808672.5687,91069.2715,411142.6713,151.3820752,306309.2437,260954.4229,15661.1068,0.0,29693.71407
Category,Weekly,5,Conventional,5 Boroughs/New York City,2023/02/05,1.366121034,620706.2806,84003.8266,285683.2492,88.77332803,250930.4315,212934.0167,17774.84432,0.0,20221.57047
Category,Weekly,4,Conventional,5 Boroughs/New York City,2023/01/29,1.288197098,731493.4715,82099.1384,388230.8436,106.8006618,261056.6888,224555.6873,19525.16799,0.0,16975.83352
Category,Weekly,3,Conventional,5 Boroughs/New York City,2023/01/22,1.3896837,615220.7409,69662.62156,305268.3293,167.1292788,240122.6607,213519.5009,9362.279811,0.0,17240.88002
Category,Weekly,2,Conventional,5 Boroughs/New York City,2023/01/15,1.255484473,700391.3735,67780.25269,386824.113,136.0552336,245650.9526,219648.9283,2865.202659,233.1644319,22903.65717
Category,Weekly,1,Conventional,5 Boroughs/New York City,2023/01/08,1.371178614,606787.8637,54476.44945,300287.7719,133.9306516,251889.7117,224607.0724,3334.775267,52.82054488,23895.04351
Category,Weekly,52,Conventional,Albany,2023/12/31,0.924873393,129070.6881,42036.28342,62173.0556,11.1299999,24850.21908,21390.24729,952.0036159,1735.65,772.3181763
Category,Weekly,51,Conventional,Albany,2023/12/24,1.027905464,119022.8572,31978.52383,58969.75602,3.88500005,28070.69233,25495.41809,683.0308547,1256.0625,636.1808863
Category,Weekly,50,Conventional,Albany,2023/12/17,0.947807157,132479.7108,39034.98685,63787.17941,5.8799999,29651.66458,27692.33181,314.938871,1032.01875,612.3751476
