Report,Timeframe,Period,Prior Year Week Ending,Current Year Week Ending,Geography,Variety,Volume Prior Year,Volume Current Year,Volume Variance,Price per Volume Prior Year,Price per Volume Current Year,Price per Volume Variance,Units Prior Year,Units Current Year,Unit Variance,Price per Unit Prior Year,Price per Unit Current Year,Price per Unit Variance,Dollars Prior Year,Dollars Current Year,Dollar Variance
Produce,Last 04 Wks,1.0,2020/02/02,2021/01/31,Total U.S.,Total Store with Perimeter,0.0,0.0,0.0,0.0,0.0,0.0,18797724287.0,19920878365.0,0.0597,3.4055,3.5718,0.0489,64014972475.0,71153824858.0,0.1115
Produce,Last 04 Wks,1.0,2020/02/02,2021/01/31,Total U.S.,Produce Department,3038689944.0,3313058947.0,0.0903,1.6507,1.6978,0.0285,2259357207.0,2463539825.0,0.0904,2.2201,2.2833,0.0285,5015952270.0,5624924320.0,0.1214
Produce,Last 04 Wks,1.0,2020/02/02,2021/01/31,Total U.S.,Vegetable Aisle,1452029124.0,1638973842.0,0.1287,1.7998,1.8203,0.0113,1251433780.0,1399323738.0,0.1182,2.0884,2.132,0.0209,2613433100.0,2983380208.0,0.1416
Produce,Last 04 Wks,1.0,2020/02/02,2021/01/31,Total U.S.,Fruit Aisle,1557148901.0,1644392615.0,0.056,1.4882,1.5524,0.0431,957640975.4,1008258678.0,0.0529,2.4199,2.5318,0.0463,2317388003.0,2552725898.0,0.1016
Produce,Last 04 Wks,1.0,2020/02/02,2021/01/31,Total U.S.,Blackberries,8830568.424,9613482.315,0.0887,6.0593,6.5588,0.0824,20231631.88,21511594.64,0.0633,2.6447,2.9311,0.1083,53506867.12,63052551.38,0.1784
Produce,Last 04 Wks,1.0,2020/02/02,2021/01/31,Total U.S.,Blueberries,42340173.86,42620129.93,0.0066,3.82,4.2229,0.1055,54426722.45,55780887.28,0.0249,2.9717,3.2266,0.0858,161739955.9,179981941.7,0.1128
Produce,Last 04 Wks,1.0,2020/02/02,2021/01/31,Total U.S.,Raspberries,11444435.0,13024134.32,0.138,7.3603,7.3833,0.0031,26510941.77,29685725.77,0.1198,3.1773,3.2393,0.0195,84234322.25,96161125.03,0.1416
Produce,Last 04 Wks,1.0,2020/02/02,2021/01/31,Total U.S.,Strawberries,72222983.81,77409048.31,0.0718,3.1239,3.293,0.0541,65814778.45,70335752.99,0.0687,3.4281,3.6241,0.0572,225619289.0,254904609.2,0.1298
Produce,Last 04 Wks,1.0,2020/02/02,2021/01/31,Total U.S.,Apples,214807712.6,221042629.5,0.029,1.5817,1.6446,0.0397,103840617.8,103935417.6,0.0009,3.2719,3.4975,0.0689,339760412.2,363517451.6,0.0699
Produce,Last 04 Wks,1.0,2020/02/02,2021/01/31,Total U.S.,Apricots,71329.3012,187780.4466,1.6326,3.5508,3.3362,-0.0604,74842.9061,167121.3188,1.233,3.3841,3.7486,0.1077,253274.2414,626473.6832,1.4735
Produce,Last 04 Wks,1.0,2020/02/02,2021/01/31,Total U.S.,Avocados,94003195.17,98966412.91,0.0528,2.0464,1.9907,-0.0272,127876338.3,124320632.8,-0.0278,1.5044,1.5847,0.0534,192371169.5,197016931.6,0.0241
Produce,Last 04 Wks,1.0,2020/02/02,2021/01/31,Total U.S.,Bananas,478204152.3,487614943.7,0.0197,0.5344,0.5526,0.0341,243028888.8,249000167.8,0.0246,1.0516,1.0822,0.0291,255561345.4,269467742.3,0.0544
Produce,Last 04 Wks,1.0,2020/02/02,2021/01/31,Total U.S.,Cherries,2866717.676,4434858.932,0.547,4.9726,4.5956,-0.0758,2440796.507,3693124.339,0.5131,5.8403,5.5186,-0.0551,14255064.91,20380841.58,0.4297
Produce,Last 04 Wks,1.0,2020/02/02,2021/01/31,Total U.S.,Coconuts,581846.614,674172.1725,0.1587,2.0296,2.0707,0.0203,471822.8792,555462.1404,0.1773,2.5029,2.5133,0.0041,1180918.645,1396026.407,0.1822
