Week Ending,Week Number,Year,Status,Total Volume,California,Chile,Mexico,Peru,Colombia,Dominican Republic
"Jan 2, 2022",1,2022,Actual,49919169,0,100065,49484204,0,206850,128050
"Jan 9, 2022",2,2022,Actual,56654779,0,200130,56273907,0,141342,39400
"Jan 16, 2022",3,2022,Actual,70001950,72742,50032,69049995,0,612481,216700
"Jan 23, 2022",4,2022,Actual,67675677,199886,98500,66500996,0,659595,216700
"Jan 30, 2022",5,2022,Actual,60825728,160580,98500,59826116,0,612482,128050
"Feb 6, 2022",6,2022,Actual,43057884,486586,0,42194387,0,376911,0
"Feb 13, 2022",7,2022,Actual,54158795,759486,0,52540578,0,612481,246250
"Feb 20, 2022",8,2022,Actual,54470735,520395,0,53439801,0,471139,39400
"Feb 27, 2022",9,2022,Actual,63189309,301049,0,62349477,0,282683,256100
"Mar 6, 2022",10,2022,Actual,65246107,1403477,0,63512832,0,329798,0
"Mar 13, 2022",11,2022,Actual,69758831,1000570,0,68447334,0,94227,216700
"Mar 20, 2022",12,2022,Actual,54778113,850916,0,53555864,0,282683,88650
"Mar 27, 2022",13,2022,Actual,62113123,2381053,0,59240400,0,235570,256100
"Apr 3, 2022",14,2022,Actual,41360808,4794798,0,36283327,0,282683,0
"Apr 10, 2022",15,2022,Actual,64537866,6926672,0,57328511,0,282683,0
"Apr 17, 2022",16,2022,Actual,75981088,9362886,0,66348810,0,141342,128050
"Apr 24, 2022",17,2022,Actual,72451026,12246210,0,59882732,0,282684,39400
"May 1, 2022",18,2022,Actual,52549630,9751932,0,42669648,0,0,128050
"May 8, 2022",19,2022,Actual,57178265,11633221,0,45275652,0,141342,128050
"May 15, 2022",20,2022,Actual,55135999,10413859,0,44675026,0,47114,0
"May 22, 2022",21,2022,Actual,58412895,11644207,0,46399490,0,329798,39400
"May 29, 2022",22,2022,Actual,55159597,9398360,0,44249318,0,1413419,98500
"Jun 5, 2022",23,2022,Actual,53221336,10770543,0,41139317,0,1272076,39400
"Jun 12, 2022",24,2022,Actual,42698335,12094294,0,29708876,0,895165,0
"Jun 19, 2022",25,2022,Actual,40201809,14026158,0,25139144,0,1036507,0
"Jun 26, 2022",26,2022,Actual,51287006,15040628,0,35042420,0,1036508,167450
"Jul 3, 2022",27,2022,Actual,40601767,11516670,0,27860134,0,1224963,0
"Jul 10, 2022",28,2022,Actual,44585169,15306785,0,28309997,0,800937,167450
"Jul 17, 2022",29,2022,Actual,38876885,11061902,0,26925872,0,376911,512200
"Jul 24, 2022",30,2022,Actual,34840534,9697849,0,24106177,0,1036508,0
"Jul 31, 2022",31,2022,Actual,42215034,8416332,0,31819916,0,989393,989393
"Aug 7, 2022",32,2022,Actual,46622955,5991477,0,39696913,0,895165,39400
