Report,Importer,Exporter,Timeframe,Current Year Week Ending,Period,Volume LBS,Data Year
Global,Canada,Mexico,Quarterly,2022,1,55235927,
Global,Canada,Dominican Republic,Quarterly,2022,1,699522,
Global,Canada,United States,Quarterly,2022,1,263196,
Global,Canada,Peru,Quarterly,2022,1,21147,
Global,Canada,Jamaica,Quarterly,2022,1,1955,
Global,Canada,Uganda,Quarterly,2022,1,1232,
Global,Canada,Colombia,Quarterly,2022,1,840,
Global,Canada,Taiwan,Quarterly,2022,1,265,
Global,Canada,Brazil,Quarterly,2022,1,53,
Global,Canada,Israel,Quarterly,2022,1,37,
Global,Canada,Kenya,Quarterly,2022,1,11,
Global,Canada,Mali,Quarterly,2022,1,4,
Global,China,Peru,Quarterly,2022,1,5249007,
Global,China,Chile,Quarterly,2022,1,6605776,
Global,China,Mexico,Quarterly,2022,1,2298811,
Global,China,Philippines,Quarterly,2022,1,72897,
Global,China,New Zealand,Quarterly,2022,1,325187,
Global,China,Colombia,Quarterly,2022,1,37531,
Global,Chile,Peru,Quarterly,2022,1,"8,292,906",
Global,Hong Kong,Chile,Quarterly,2022,1,3140032,
Global,Hong Kong,Peru,Quarterly,2022,1,2725521,
Global,Hong Kong,Australia,Quarterly,2022,1,2401806,
Global,Hong Kong,New Zealand,Quarterly,2022,1,1567188,
Global,Hong Kong,Mexico,Quarterly,2022,1,1204470,
Global,Hong Kong,United States,Quarterly,2022,1,231205,
Global,Hong Kong,Israel,Quarterly,2022,1,52381,
Global,Hong Kong,Netherlands,Quarterly,2022,1,45926,
Global,Hong Kong,Kenya,Quarterly,2022,1,18836,
Global,Hong Kong,Turkey,Quarterly,2022,1,17511,
Global,Hong Kong,China,Quarterly,2022,1,1144,
Global,Hong Kong,United Kingdom,Quarterly,2022,1,1091,
Global,Hong Kong,Indonesia,Quarterly,2022,1,772,
Global,Hong Kong,Taiwan,Quarterly,2022,1,758,
Global,Hong Kong,France,Quarterly,2022,1,463,
Global,Hong Kong,Japan,Quarterly,2022,1,448,
Global,Hong Kong,Spain,Quarterly,2022,1,163,
Global,Hong Kong,Colombia,Quarterly,2022,1,79,
Global,Hong Kong,Morocco,Quarterly,2022,1,18,
Global,Japan,Mexico,Quarterly,2022,1,28552148,
Global,Japan,New Zealand,Quarterly,2022,1,101462,
Global,Japan,Australia,Quarterly,2022,1,36667,
Global,Japan,United States,Quarterly,2022,1,12491,
Global,United States,Mexico,Quarterly,2022,1,558492557,
Global,United States,Dominican Republic,Quarterly,2022,1,32856416,
Global,United States,Chile,Quarterly,2022,1,7997802,
Global,United States,Colombia,Quarterly,2022,1,6552349,
Global,United States,Peru,Quarterly,2022,1,556540,
Global,EU,Israel,Quarterly,2022,1,68080860,
Global,EU,Morocco,Quarterly,2022,1,55869059,
Global,EU,Colombia,Quarterly,2022,1,51757676,
Global,EU,Chile,Quarterly,2022,1,46726545,
Global,EU,Peru,Quarterly,2022,1,26698051,
Global,EU,Kenya,Quarterly,2022,1,11645355,
Global,EU,Dominican Republic,Quarterly,2022,1,5480777,
Global,EU,Guatemala,Quarterly,2022,1,2732077,
Global,EU,South Africa,Quarterly,2022,1,2678596,
Global,EU,Tanzania,Quarterly,2022,1,1462243,
Global,EU,Mexico,Quarterly,2022,1,907876,
Global,EU,Brazil,Quarterly,2022,1,668638,
Global,EU,Ecuador,Quarterly,2022,1,532321,
Global,EU,United Kingdom,Quarterly,2022,1,387170,
Global,EU,Uganda,Quarterly,2022,1,158969,
Global,EU,Turkey,Quarterly,2022,1,110788,
Global,EU,Mozambique,Quarterly,2022,1,46561,
Global,EU,Costa Rica,Quarterly,2022,1,45274,
Global,EU,Lebanon,Quarterly,2022,1,42119,
Global,EU,Ghana,Quarterly,2022,1,18184,
Global,EU,Cameroon,Quarterly,2022,1,16784,
Global,EU,Togo,Quarterly,2022,1,13228,
Global,EU,Egypt,Quarterly,2022,1,10344,
Global,EU,Burundi,Quarterly,2022,1,6759,
Global,EU,Russia,Quarterly,2022,1,4718,
Global,EU,Dominica,Quarterly,2022,1,2072,
Global,EU,Switzerland,Quarterly,2022,1,1554,
Global,EU,India,Quarterly,2022,1,1261,
Global,EU,Algeria,Quarterly,2022,1,234,
Global,EU,Thailand,Quarterly,2022,1,207,
Global,EU,Sri Lanka,Quarterly,2022,1,150,
Global,EU,China,Quarterly,2022,1,57,
Global,EU,"Korea, South",Quarterly,2022,1,26,
Global,Canada,Mexico,Quarterly,2022,2,45506539,
Global,Canada,Peru,Quarterly,2022,2,4058786,
Global,Canada,United States,Quarterly,2022,2,394022,
Global,Canada,Dominican Republic,Quarterly,2022,2,257197,
Global,Canada,Colombia,Quarterly,2022,2,243483,
Global,Canada,Morocco,Quarterly,2022,2,140082,
Global,Canada,Brazil,Quarterly,2022,2,121165,
Global,Canada,Kenya,Quarterly,2022,2,111136,
Global,Canada,France,Quarterly,2022,2,4400,
Global,Canada,Uganda,Quarterly,2022,2,1753,
Global,Canada,Taiwan,Quarterly,2022,2,573,
Global,Canada,Jamaica,Quarterly,2022,2,209,
Global,Canada,Haiti,Quarterly,2022,2,134,
Global,Canada,Israel,Quarterly,2022,2,90,
Global,Canada,Mali,Quarterly,2022,2,73,
Global,Canada,Costa Rica,Quarterly,2022,2,44,
Global,Canada,Fiji,Quarterly,2022,2,40,
Global,Canada,Chile,Quarterly,2022,2,15,
Global,Chile,Peru,Quarterly,2022,2,"46,920,966",
Global,China,Peru,Quarterly,2022,2,23207378,
Global,China,Chile,Quarterly,2022,2,1669248,
Global,China,Mexico,Quarterly,2022,2,669687,
Global,China,Philippines,Quarterly,2022,2,391365,
Global,Hong Kong,Peru,Quarterly,2022,2,9281900,
Global,Hong Kong,Australia,Quarterly,2022,2,4784738,
Global,Hong Kong,Kenya,Quarterly,2022,2,1333878,
Global,Hong Kong,Chile,Quarterly,2022,2,207197,
Global,Hong Kong,Mexico,Quarterly,2022,2,186421,
Global,Hong Kong,China,Quarterly,2022,2,102875,
Global,Hong Kong,New Zealand,Quarterly,2022,2,36316,
Global,Hong Kong,United States,Quarterly,2022,2,21517,
Global,Hong Kong,Indonesia,Quarterly,2022,2,17961,
Global,Hong Kong,Philippines,Quarterly,2022,2,11905,
Global,Hong Kong,Netherlands,Quarterly,2022,2,7822,
Global,Hong Kong,Japan,Quarterly,2022,2,3331,
Global,Hong Kong,Israel,Quarterly,2022,2,1627,
Global,Hong Kong,United Kingdom,Quarterly,2022,2,1506,
Global,Hong Kong,South Africa,Quarterly,2022,2,1208,
Global,Hong Kong,France,Quarterly,2022,2,573,
Global,Hong Kong,Taiwan,Quarterly,2022,2,410,
Global,Hong Kong,Spain,Quarterly,2022,2,86,
Global,Hong Kong,Colombia,Quarterly,2022,2,18,
Global,Hong Kong,Tanzania,Quarterly,2022,2,9,
Global,Japan,Mexico,Quarterly,2022,2,17079985,
Global,Japan,Peru,Quarterly,2022,2,8237268,
Global,Japan,United States,Quarterly,2022,2,159135,
Global,Japan,Israel,Quarterly,2022,2,46753,
Global,United States,Mexico,Quarterly,2022,2,387797669,
Global,United States,Peru,Quarterly,2022,2,82792789,
Global,United States,Dominican Republic,Quarterly,2022,2,21118398,
Global,United States,Colombia,Quarterly,2022,2,18045895,
Global,United States,Chile,Quarterly,2022,2,225947,
Global,EU,Peru,Quarterly,2022,2,269325249,
Global,EU,South Africa,Quarterly,2022,2,54759874,
Global,EU,Kenya,Quarterly,2022,2,44687919,
Global,EU,Israel,Quarterly,2022,2,15730236,
Global,EU,Morocco,Quarterly,2022,2,14584080,
Global,EU,Colombia,Quarterly,2022,2,13136365,
Global,EU,Brazil,Quarterly,2022,2,7742436,
Global,EU,Tanzania,Quarterly,2022,2,6357615,
Global,EU,Chile,Quarterly,2022,2,2663836,
Global,EU,Mozambique,Quarterly,2022,2,2277755,
Global,EU,Zimbabwe,Quarterly,2022,2,1471533,
Global,EU,Dominican Republic,Quarterly,2022,2,742666,
Global,EU,Ecuador,Quarterly,2022,2,475929,
Global,EU,Guatemala,Quarterly,2022,2,425038,
Global,EU,United Kingdom,Quarterly,2022,2,234999,
Global,EU,Uganda,Quarterly,2022,2,196851,
Global,EU,Zambia,Quarterly,2022,2,91561,
Global,EU,Lebanon,Quarterly,2022,2,80472,
Global,EU,Cameroon,Quarterly,2022,2,23704,
Global,EU,Burundi,Quarterly,2022,2,5765,
Global,EU,Ghana,Quarterly,2022,2,4989,
Global,EU,Turkey,Quarterly,2022,2,3618,
Global,EU,Iceland,Quarterly,2022,2,3521,
Global,EU,Thailand,Quarterly,2022,2,2196,
Global,EU,Cote d Ivoire,Quarterly,2022,2,1206,
Global,EU,Dominica,Quarterly,2022,2,1060,
Global,EU,China,Quarterly,2022,2,908,
Global,EU,Mexico,Quarterly,2022,2,855,
Global,EU,Saudi Arabia,Quarterly,2022,2,741,
Global,EU,Togo,Quarterly,2022,2,262,
Global,EU,"Congo, Dem. Rep.",Quarterly,2022,2,198,
Global,EU,United States,Quarterly,2022,2,126,
