"Week Ending","Week Number","Year","Status","Total Volume","California","Chile","Mexico","Peru","Colombia","Dominican Republic"
"Jan 5, 2025","1","2025","Actual","36,799,474","0","424,557","31,956,098","0","4,118,330","300,488"
"Jan 12, 2025","2","2025","Actual","64,272,433","515,005","419,482","60,694,022","0","2,565,773","78,150"
"Jan 19, 2025","3","2025","Actual","74,983,447","3,383,196","474,505","67,385,712","0","2,509,095","1,230,938"
"Jan 26, 2025","4","2025","Actual","78,535,216","6,290,708","334,818","67,709,434","0","3,954,355","245,900"
"Feb 2, 2025","5","2025","Actual","65,505,808","4,849,493","993,372","54,752,258","0","3,755,772","1,154,912"
"Feb 9, 2025","6","2025","Actual","38,788,478","1,843,599","861,610","32,487,671","0","3,017,847","577,750"
"Feb 16, 2025","7","2025","Actual","49,714,532","1,429,620","1,135,552","41,879,686","0","4,509,672","760,000"
"Feb 23, 2025","8","2025","Actual","60,191,026","3,223,053","1,348,246","51,709,983","0","3,291,743","618,000"
"Mar 2, 2025","9","2025","Actual","59,378,143","4,318,664","1,113,835","46,786,466","0","6,593,177","566,000"
"Mar 9, 2025","10","2025","Actual","43,322,927","3,289,835","1,100,829","35,576,106","94,815","2,688,340","573,000"
"Mar 16, 2025","11","2025","Actual","58,443,166","2,069,250","1,247,752","50,465,627","189,630","3,899,905","571,000"
"Mar 23, 2025","12","2025","Actual","62,377,971","7,707,349","1,020,987","50,987,806","331,854","2,039,674","290,300"
"Mar 30, 2025","13","2025","Actual","76,672,672","11,152,229","1,002,686","62,337,169","474,077","1,299,510","407,000"
"Apr 6, 2025","14","2025","Actual","47,771,199","10,630,812","524,338","33,941,126","663,708","1,805,214","206,000"
"Apr 13, 2025","15","2025","Actual","59,480,669","13,629,521","683,031","42,583,571","1,422,231","1,108,176","54,137"
"Apr 20, 2025","16","2025","Actual","52,883,892","15,857,629","662,205","31,872,949","2,275,570","2,061,488","154,050"
"Apr 27, 2025","17","2025","Actual","63,659,079","14,412,827","637,248","41,756,534","3,934,864","2,917,605","0"
"May 4, 2025","18","2025","Actual","57,997,944","14,973,868","167,769","36,475,045","3,745,209","2,636,052","0"
"May 11, 2025","19","2025","Actual","61,382,149","13,500,321","140,708","39,190,824","4,882,995","3,667,301","0"
"May 18, 2025","20","2025","Actual","59,411,917","15,330,018","47,280","34,299,622","5,309,664","4,425,332","0"
"May 25, 2025","21","2025","Actual","57,446,092","15,789,306","0","30,672,599","8,320,054","2,664,132","0"
"Jun 1, 2025","22","2025","Actual","54,473,885","10,868,169","0","31,498,026","9,244,505","2,863,185","0"
"Jun 8, 2025","23","2025","Actual","60,796,517","11,077,164","0","32,134,705","11,712,512","5,872,135","0"
"Jun 15, 2025","24","2025","Actual","64,544,712","10,690,092","0","38,182,527","11,377,852","4,294,240","0"
"Jun 22, 2025","25","2025","Actual","63,397,720","10,383,328","0","35,441,335","13,795,646","3,777,410","0"
"Jun 29, 2025","26","2025","Actual","57,413,990","11,979,014","0","27,284,922","13,416,384","4,733,669","0"
"Jul 6, 2025","27","2025","Actual","62,742,962","9,448,703","0","32,608,755","16,355,662","4,329,841","0"
"Jul 13, 2025","28","2025","Actual","63,991,613","11,694,592","0","35,578,387","11,045,998","5,672,635","0"
"Jul 20, 2025","29","2025","Actual","69,376,762","9,931,447","0","39,728,551","14,696,421","5,020,342","0"
"Jul 27, 2025","30","2025","Actual","59,082,452","8,779,496","0","34,517,888","12,610,538","3,131,529","43,000"
"Aug 3, 2025","31","2025","Actual","53,902,412","6,108,400","0","31,786,040","13,416,412","2,461,559","130,000"
"Aug 10, 2025","32","2025","Actual","62,360,926","5,591,749","0","41,189,387","12,088,968","3,446,821","44,000"
"Aug 17, 2025","33","2025","Actual","62,345,576","5,591,785","0","43,825,517","10,801,502","1,950,771","176,000"
"Aug 24, 2025","34","2025","Actual","62,750,539","6,140,932","0","45,119,122","9,434,135","1,968,348","88,000"
"Aug 31, 2025","35","2025","Actual","60,677,123","6,586,529","0","44,778,523","7,395,604","1,807,341","109,125"
"Sep 7, 2025","36","2025","Actual","61,478,137","4,910,626","0","47,477,224","8,059,312","807,974","223,000"
"Sep 14, 2025","37","2025","Actual","63,551,239","5,799,472","0","49,904,668","6,731,896","743,202","372,000"
"Sep 21, 2025","38","2025","Actual","51,881,397","4,248,948","0","40,498,358","5,783,741","956,537","393,812"
"Sep 28, 2025","39","2025","Actual","65,410,620","4,311,380","0","55,975,057","4,314,102","385,081","425,000"
"Oct 5, 2025","40","2025","Actual","63,419,325","3,908,136","559,396","56,245,302","1,991,124","382,440","332,925"
"Oct 12, 2025","41","2025","Actual","58,369,637","3,846,992","318,109","52,599,402","948,154","286,979","370,000"
"Oct 19, 2025","42","2025","Actual","64,212,265","1,972,545","738,830","60,642,909","189,631","191,348","477,000"
"Oct 26, 2025","43","2025","Actual","63,456,163","2,630,936","762,796","59,329,983","0","143,448","589,000"
"Nov 2, 2025","44","2025","Actual","57,494,262","1,693,763","595,647","54,451,779","0","382,273","370,800"
"Nov 9, 2025","45","2025","Actual","56,770,409","1,351,750","827,451","53,998,426","0","95,782","497,000"
"Nov 16, 2025","46","2025","Actual","64,085,174","838,450","496,584","61,686,792","0","191,348","872,000"
"Nov 23, 2025","47","2025","Actual","56,057,250","171,500","1,103,649","54,088,022","0","239,079","455,000"
"Nov 30, 2025","48","2025","Actual","58,440,041","735,400","542,836","56,576,903","0","47,901","537,000"
"Dec 7, 2025","49","2025","Actual","59,561,468","1,031,600","958,859","56,967,683","0","189,325","414,000"
"Dec 14, 2025","50","2025","Actual","57,350,462","731,150","738,969","55,316,006","0","184,336","380,000"
"Dec 21, 2025","51","2025","Actual","61,605,336","473,250","457,142","59,795,501","0","377,043","502,400"
"Dec 28, 2025","52","2025","Actual","47,984,081","432,000","458,948","46,850,033","0","197,100","46,000"
