"Week Ending","Week Number","Year","Status","Total Volume","California","Chile","Mexico","Peru","Colombia","Dominican Republic"
"Jan 4, 2026","1","2026","Actual","46,169,474","259,200","558,012","45,009,090","0","334,372","8,800"
"Jan 11, 2026","2","2026","Actual","73,875,352","545,080","460,850","72,270,483","0","429,750","169,188"
"Jan 18, 2026","3","2026","Actual","85,740,720","691,200","367,013","83,350,628","0","469,279","862,600"
"Jan 25, 2026","4","2026","Actual","79,150,658","713,225","44,352","77,741,233","0","143,448","508,400"
"Feb 1, 2026","5","2026","Actual","73,096,145","1,010,050","177,408","70,988,054","0","384,807","535,825"
"Feb 8, 2026","6","2026","Actual","55,828,941","184,735","0","54,377,325","0","434,480","832,400"
"Feb 15, 2026","7","2026","Actual","62,936,238","293,905","0","61,819,882","0","146,150","676,300"
"Feb 22, 2026","8","2026","Actual","64,247,802","83,805","0","63,369,244","0","44,352","750,400"
"Mar 1, 2026","9","2026","Actual","57,030,417","1,430,145","0","54,748,235","0","427,637","424,400"
"Mar 8, 2026","10","2026","Actual","79,750,935","2,521,725","0","75,926,150","0","292,259","1,010,800"
"Mar 15, 2026","11","2026","Actual","78,159,414","2,919,065","0","74,301,355","0","196,394","742,600"
"Mar 22, 2026","12","2026","Actual","70,049,608","4,670,151","0","64,570,652","40,695","146,109","622,000"
"Mar 29, 2026","13","2026","Actual","85,212,984","7,547,307","0","76,673,731","41,119","286,826","664,000"
"Apr 5, 2026","14","2026","Actual","58,407,648","9,759,490","0","48,122,919","81,815","278,023","165,400"
"Apr 12, 2026","15","2026","Actual","74,564,393","13,192,180","0","60,928,907","92,938","184,166","166,200"
"Apr 19, 2026","16","2026","Actual","80,232,226","12,740,947","0","66,724,356","92,938","139,984","534,000"
"Apr 26, 2026","17","2026","Actual","73,604,510","13,022,083","0","59,786,004","92,938","92,083","611,400"
"May 3, 2026","18","2026","Actual","65,855,275","14,006,440","0","51,123,321","139,459","88,754","497,300"
"May 10, 2026","19","2026","Actual","65,266,814","13,708,133","0","50,925,686","139,408","184,166","309,420"
"May 17, 2026","20","2026","Actual","62,843,328","14,352,248","0","47,379,595","604,102","277,181","230,200"
"May 24, 2026","21","2026","Actual","55,059,108","17,406,912","0","36,588,983","650,572","286,641","126,000"
"May 31, 2026","22","2026","Projection","63,224,198","13,701,600","0","39,822,381","6,505,722","3,194,494","0"
"Jun 7, 2026","23","2026","Projection","63,128,063","13,690,600","0","39,040,205","7,202,763","3,194,494","0"
"Jun 14, 2026","24","2026","Projection","63,935,015","15,042,400","0","35,373,566","10,780,910","2,738,138","0"
"Jun 21, 2026","25","2026","Projection","64,927,919","16,139,000","0","33,516,607","12,128,524","3,143,788","0"
"Jun 28, 2026","26","2026","Projection","63,436,056","16,769,000","0","30,431,731","13,801,424","2,433,900","0"
"Jul 5, 2026","27","2026","Projection","31,452,745","13,003,700","0","0","15,660,201","2,788,844","0"
"Jul 12, 2026","28","2026","Projection","31,951,242","13,679,600","0","0","15,381,385","2,890,256","0"
"Jul 19, 2026","29","2026","Projection","30,247,374","11,287,300","0","0","16,728,999","2,231,075","0"
"Jul 26, 2026","30","2026","Projection","26,358,296","9,557,000","0","0","14,823,752","1,977,544","0"
"Aug 2, 2026","31","2026","Projection","24,849,482","7,938,300","0","0","14,730,813","2,180,369","0"
"Aug 9, 2026","32","2026","Projection","26,454,782","10,694,300","0","0","13,782,938","1,977,544","0"
"Aug 16, 2026","33","2026","Projection","25,614,610","10,402,400","0","0","13,792,435","1,419,775","0"
"Aug 23, 2026","34","2026","Projection","22,914,503","9,414,200","0","0","12,080,528","1,419,775","0"
"Aug 30, 2026","35","2026","Projection","20,219,129","8,235,800","0","0","10,766,379","1,216,950","0"
"Sep 6, 2026","36","2026","Projection","18,242,192","7,305,600","0","0","9,922,467","1,014,125","0"
"Sep 13, 2026","37","2026","Projection","15,115,662","5,707,800","0","0","8,748,681","659,181","0"
"Sep 20, 2026","38","2026","Projection","11,857,290","4,055,200","0","0","6,838,671","963,418","0"
"Sep 27, 2026","39","2026","Projection","8,623,711","3,483,900","0","0","4,328,511","811,300","0"
"Oct 4, 2026","40","2026","Projection","5,284,605","1,462,200","0","0","3,163,224","659,181","0"
"Oct 11, 2026","41","2026","Projection","2,888,190","1,301,800","0","0","1,028,621","557,768","0"
"Oct 18, 2026","42","2026","Projection","1,481,513","568,800","0","0","0","912,712","0"
"Oct 25, 2026","43","2026","Projection","1,587,731","522,900","0","0","0","1,064,831","0"
"Nov 1, 2026","44","2026","Projection","1,346,713","434,000","0","0","0","912,712","0"
"Nov 8, 2026","45","2026","Projection","963,419","0","0","0","0","963,418","0"
"Nov 15, 2026","46","2026","Projection","1,064,831","0","0","0","0","1,064,831","0"
"Nov 22, 2026","47","2026","Projection","1,318,363","0","0","0","0","1,318,362","0"
"Nov 29, 2026","48","2026","Projection","1,470,482","0","0","0","0","1,470,481","0"
"Dec 6, 2026","49","2026","Projection","1,470,482","0","0","0","0","1,470,481","0"
"Dec 13, 2026","50","2026","Projection","1,926,838","0","0","0","0","1,926,837","0"
"Dec 20, 2026","51","2026","Projection","1,926,838","0","0","0","0","1,926,837","0"
"Dec 27, 2026","52","2026","Projection","1,926,838","0","0","0","0","1,926,837","0"
