Report,Timeframe,Period,Type,Geography,Current Year Week Ending,ASP Current Year,Total Bulk and Bags,4046,4225,4770,TotalBagged,Sml Bagged,Lrg Bagged,X-Lrg Bagged,Unknown Bag Size
Category,Weekly,52,Conventional,5 Boroughs/New York City,2024/12/29,1.43359273,490978.3057,130578.4627,134329.3424,888.7237499,225181.7769,210019.2149,273.3641429,7.108206097,14882.08969
Category,Weekly,51,Conventional,5 Boroughs/New York City,2024/12/22,1.27390316,713935.7429,221640.3837,265847.8826,819.1722658,225628.3044,208802.2121,456.9758854,0,16369.11637
Category,Weekly,50,Conventional,5 Boroughs/New York City,2024/12/15,1.506576406,550221.7705,129720.8196,179565.5956,725.4670462,240209.8883,223276.3957,561.5734473,10.53907299,16361.38001
Category,Weekly,49,Conventional,5 Boroughs/New York City,2024/12/08,1.254862791,746156.7071,215649.9602,262754.8794,995.5032047,266756.3643,250487.6403,181.8258802,1061.906904,15024.99121
Category,Weekly,48,Conventional,5 Boroughs/New York City,2024/12/01,1.530011041,461329.1397,100758.1514,153397.7319,820.2299552,206353.0265,191783.7392,1238.698305,2331.309822,10999.27912
Category,Weekly,47,Conventional,5 Boroughs/New York City,2024/11/24,1.282114688,709798.9009,202065.2379,273419.4386,752.4540909,233561.7703,218146.6731,1921.646509,2012.821604,11480.62914
Category,Weekly,46,Conventional,5 Boroughs/New York City,2024/11/17,1.247399999,766502.7608,226761.143,288641.553,903.7858622,250196.2789,231447.4972,204.5074271,3078.73125,15465.54301
Category,Weekly,45,Conventional,5 Boroughs/New York City,2024/11/10,1.48696377,602520.5471,124195.6909,194834.5958,907.6652576,282582.5952,265250.2542,0,2188.655321,15143.68565
Category,Weekly,44,Conventional,5 Boroughs/New York City,2024/11/03,1.330885842,696367.9064,190938.4866,259816.2271,736.6755815,244876.5172,228067.7948,159.3082789,2127.635358,14521.77871
Category,Weekly,43,Conventional,5 Boroughs/New York City,2024/10/27,1.511987295,586242.2451,132594.8396,193210.2254,718.0301447,259719.1499,241769.4837,160.0035508,2692.908775,15096.75394
Category,Weekly,42,Conventional,5 Boroughs/New York City,2024/10/20,1.392023226,702087.6285,134970.2022,313965.8052,986.2554842,252165.3657,232571.7212,1851.371777,2987.636433,14754.63634
Category,Weekly,41,Conventional,5 Boroughs/New York City,2024/10/13,1.312168415,766288.2427,182476.5689,289531.8154,957.5213103,293322.3372,271179.7965,5159.329402,2477.86875,14505.34258
Category,Weekly,40,Conventional,5 Boroughs/New York City,2024/10/06,1.557866896,728695.5103,118091.5912,340482.8836,1373.719362,268747.3162,244851.5729,7117.139993,2759.00625,14019.59699
Category,Weekly,39,Conventional,5 Boroughs/New York City,2024/09/29,1.553474486,577581.1249,111467.0698,201388.3602,968.4004215,263757.2945,241756.8014,4935,3431.786096,13633.707
Category,Weekly,38,Conventional,5 Boroughs/New York City,2024/09/22,1.302796075,769465.4982,203119.0885,335885.1768,1045.784429,229415.4485,202832.5235,8778,3240.78236,14564.14269
Category,Weekly,37,Conventional,5 Boroughs/New York City,2024/09/15,1.536920477,606667.5026,137616.5089,237906.0168,1197.649868,229947.3271,201295.8124,10264.8,2846.35364,15540.36101
Category,Weekly,36,Conventional,5 Boroughs/New York City,2024/09/08,1.338373449,739469.2539,182984.9775,322475.4295,1252.334717,232756.5122,208608.1748,4650.496957,3198.304207,16299.53623
Category,Weekly,35,Conventional,5 Boroughs/New York City,2024/09/01,1.32882704,638243.7671,151136.6697,262983.6185,1106.056207,223017.4227,199791.734,6192.734006,1154.86875,15878.08597
Category,Weekly,34,Conventional,5 Boroughs/New York City,2024/08/25,1.33383608,639456.2622,124496.3091,321970.1147,498.4663553,192491.372,170892.8332,6312.102375,906.80625,14379.63017
Category,Weekly,33,Conventional,5 Boroughs/New York City,2024/08/18,1.235183123,722841.2631,180607.1873,336573.2252,326.6046717,205334.2459,186477.4352,4496.113989,1475.403979,12885.29278
