Report,Timeframe,Period,Prior Year Week Ending,Current Year Week Ending,Geography,Variety,Volume Prior Year,Volume Current Year,Volume Variance,Price per Volume Prior Year,Price per Volume Current Year,Price per Volume Variance,Units Prior Year,Units Current Year,Unit Variance,Price per Unit Prior Year,Price per Unit Current Year,Price per Unit Variance,Dollars Prior Year,Dollars Current Year,Dollar Variance
Produce,Last 04 Wks,1,2024/01/28,2025/01/26,Total U.S.,Total Store with Perimeter, , , , , , ,18635819566,18892596733,0.013778689,4.432139254,4.521810328,0.020232007,82596547422,85428739022,0.034289467
Produce,Last 04 Wks,1,2024/01/28,2025/01/26,Total U.S.,Produce Department,3232273625,3309677341,0.023947142,1.953034171,1.972284786,0.009856773,2397085295,2469128268,0.030054405,2.633506974,2.643696705,0.003869263,6312740842,6527626265,0.034039956
Produce,Last 04 Wks,1,2024/01/28,2025/01/26,Total U.S.,Vegetable Aisle,1593028348,1625492136,0.020378663,1.99881729,1.997558891,-0.000629572,1330759823,1357967394,0.02044514,2.392747775,2.39108559,-0.000694676,3184172606,3247016269,0.019736262
Produce,Last 04 Wks,1,2024/01/28,2025/01/26,Total U.S.,Fruit Aisle,1607829982,1651718600,0.027296803,1.876300549,1.91733334,0.021868986,1003521764,1045356006,0.041687428,3.006185202,3.029489592,0.007752147,3016772278,3166895141,0.049762743
Produce,Last 04 Wks,1,2024/01/28,2025/01/26,Total U.S.,Blackberries,8603403.816,10700531.96,0.243755633,8.136381192,7.589904129,-0.067164634,19358875.28,23462485.39,0.211975647,3.615942144,3.461526362,-0.042704163,70000573,81216011.71,0.160219242
Produce,Last 04 Wks,1,2024/01/28,2025/01/26,Total U.S.,Blueberries,42758108.64,53924539.5,0.261153526,6.030184559,4.910486716,-0.185682185,53999396.4,65514089.11,0.213237434,4.774854974,4.041813577,-0.153521186,257839286.5,264795734.9,0.026979784
Produce,Last 04 Wks,1,2024/01/28,2025/01/26,Total U.S.,Raspberries,11350151.97,12310965.05,0.084652002,9.124200781,8.837409325,-0.031431954,25842718.57,27208049.58,0.052832329,4.007359565,3.998707701,-0.002158994,103561065.5,108797037.4,0.05055927
Produce,Last 04 Wks,1,2024/01/28,2025/01/26,Total U.S.,Strawberries,78023105.73,86006715.34,0.102323658,4.28234279,4.28983019,0.001748435,70748004.71,75257874.48,0.06374554,4.722701165,4.902532879,0.038078148,334121684.3,368954204.1,0.104251
Produce,Last 04 Wks,1,2024/01/28,2025/01/26,Total U.S.,Apples,215796063.4,216446718.5,0.003015139,1.759738418,1.807800015,0.027311785,100741556.2,100516043.6,-0.002238526,3.769493321,3.892835082,0.032721045,379744623.1,391292380.9,0.030409273
Produce,Last 04 Wks,1,2024/01/28,2025/01/26,Total U.S.,Apricots,160644.3517,109603.3005,-0.31772702,4.21021788,4.186994075,-0.005516058,161705.486,139602.4239,-0.136687151,4.182589833,3.287252163,-0.214062986,676347.7218,458908.3698,-0.321490477
