Report,Importer,Exporter,Timeframe,Current Year Week Ending,Period,Volume LBS,Data Year
Global,Canada,Mexico,Quarterly,2024,1,"63,445,201",2024
Global,Canada,Dominican Republic,Quarterly,2024,1,"750,997",2024
Global,Canada,United States,Quarterly,2024,1,"216,673",2024
Global,Canada,Peru,Quarterly,2024,1,"27,553",2024
Global,Canada,Colombia,Quarterly,2024,1,"15,772",2024
Global,Canada,New Zealand,Quarterly,2024,1,"15,512",2024
Global,Canada,Brazil,Quarterly,2024,1,"7,355",2024
Global,Canada,Uganda,Quarterly,2024,1,597,2024
Global,Canada,Jamaica,Quarterly,2024,1,194,2024
Global,Canada,Israel,Quarterly,2024,1,126,2024
Global,Canada,Morocco,Quarterly,2024,1,18,2024
Global,Canada,Spain,Quarterly,2024,1,11,2024
Global,Canada,India,Quarterly,2024,1,4,2024
Global,Chile,Peru,Quarterly,2024,1,26141381,2024
Global,Chile,Mexico,Quarterly,2024,1,1170707,2024
Global,Chile,Colombia,Quarterly,2024,1,211642,2024
Global,Chile,United States,Quarterly,2024,1,45969,2024
Global,China,Peru,Quarterly,2024,1,17498713,2024
Global,China,Chile,Quarterly,2024,1,4008926,2024
Global,China,Mexico,Quarterly,2024,1,1568763,2024
Global,China,Philippines,Quarterly,2024,1,2187,2024
Global,EU,Israel,Quarterly,2024,1,82072458,2024
Global,EU,Colombia,Quarterly,2024,1,72902810,2024
Global,EU,Morocco,Quarterly,2024,1,68505375,2024
Global,EU,Peru,Quarterly,2024,1,53615074,2024
Global,EU,Chile,Quarterly,2024,1,17023946,2024
Global,EU,Tanzania,Quarterly,2024,1,10305006,2024
Global,EU,South Africa,Quarterly,2024,1,7578875,2024
Global,EU,Brazil,Quarterly,2024,1,3736209,2024
Global,EU,Mexico,Quarterly,2024,1,3676618,2024
Global,EU,Guatemala,Quarterly,2024,1,3675992,2024
Global,EU,Dominican Republic,Quarterly,2024,1,3465541,2024
Global,EU,Kenya,Quarterly,2024,1,3143586,2024
Global,EU,Ecuador,Quarterly,2024,1,1909514,2024
Global,EU,United Kingdom,Quarterly,2024,1,1115036,2024
Global,EU,Mozambique,Quarterly,2024,1,966144,2024
Global,EU,Lebanon,Quarterly,2024,1,780129,2024
Global,EU,Uganda,Quarterly,2024,1,151317,2024
Global,EU,Turkey,Quarterly,2024,1,128493,2024
Global,EU,Zambia,Quarterly,2024,1,102902,2024
Global,EU,Egypt,Quarterly,2024,1,60682,2024
Global,EU,Cameroon,Quarterly,2024,1,18453,2024
Global,EU,Dominica,Quarterly,2024,1,4855,2024
Global,EU,Burundi,Quarterly,2024,1,3075,2024
Global,EU,Ghana,Quarterly,2024,1,2864,2024
Global,EU,Rwanda,Quarterly,2024,1,2258,2024
Global,EU,Togo,Quarterly,2024,1,946,2024
Global,EU,New Caledonia,Quarterly,2024,1,895,2024
Global,EU,Tunisia,Quarterly,2024,1,761,2024
Global,EU,"Congo, Dem. Rep.",Quarterly,2024,1,192,2024
Global,EU,Mauritius,Quarterly,2024,1,95,2024
Global,EU,Saudi Arabia,Quarterly,2024,1,93,2024
Global,EU,West Bank,Quarterly,2024,1,42,2024
