Report,Importer,Exporter,Timeframe,Current Year Week Ending,Period,Volume LBS
Global,Canada,Mexico,Quarterly,2021,1,"66,274,481"
Global,Canada,Peru,Quarterly,2021,1,"36,054"
Global,Canada,United States,Quarterly,2021,1,"111,634"
Global,Canada,Brazil,Quarterly,2021,1,"81,546"
Global,Canada,Colombia,Quarterly,2021,1,"211,520"
Global,Canada,Dominican Republic,Quarterly,2021,1,"755,631"
Global,Canada,Taiwan,Quarterly,2021,1,
Global,Canada,Uganda,Quarterly,2021,1,"1,396"
Global,Canada,Cuba,Quarterly,2021,1,
Global,Canada,Jamaica,Quarterly,2021,1,809
Global,Canada,Israel,Quarterly,2021,1,
Global,Canada,Haiti,Quarterly,2021,1,335
Global,Canada,Germany,Quarterly,2021,1,4
Global,Canada,Ecuador,Quarterly,2021,1,77
Global,Canada,Dominica,Quarterly,2021,1,117
Global,Canada,"Congo, Dem. Rep.",Quarterly,2021,1,33
Global,Canada,China,Quarterly,2021,1,276
Global,Canada,Cameroon,Quarterly,2021,1,55
Global,China,Peru,Quarterly,2021,1,3901132
Global,China,Mexico,Quarterly,2021,1,8071125
Global,China,Philippines,Quarterly,2021,1,38497
Global,China,United States,Quarterly,2021,1,142391
Global,China,Chile,Quarterly,2021,1,2090325
Global,China,Colombia,Quarterly,2021,1,264552
Global,Chile,Peru,Quarterly,2021,1,16215733
Global,Chile,Mexico,Quarterly,2021,1,9504370
Global,Hong Kong,Peru,Quarterly,2021,1,2320950
Global,Hong Kong,Australia,Quarterly,2021,1,460541
Global,Hong Kong,Kenya,Quarterly,2021,1,161163
Global,Hong Kong,United States,Quarterly,2021,1,265055
Global,Hong Kong,Mexico,Quarterly,2021,1,4287751
Global,Hong Kong,Tanzania,Quarterly,2021,1,4839
Global,Hong Kong,South Africa,Quarterly,2021,1,2932
Global,Hong Kong,Thailand,Quarterly,2021,1,
Global,Hong Kong,Chile,Quarterly,2021,1,680853
Global,Hong Kong,Indonesia,Quarterly,2021,1,1129
Global,Hong Kong,Philippines,Quarterly,2021,1,
Global,Hong Kong,Netherlands,Quarterly,2021,1,16499
Global,Hong Kong,France,Quarterly,2021,1,2269
Global,Hong Kong,Colombia,Quarterly,2021,1,300
Global,Hong Kong,Ecuador,Quarterly,2021,1,31224
Global,Hong Kong,Spain,Quarterly,2021,1,306
Global,Hong Kong,United Kingdom,Quarterly,2021,1,2403
Global,Hong Kong,Japan,Quarterly,2021,1,227
Global,Hong Kong,Taiwan,Quarterly,2021,1,97
Global,Hong Kong,Mozambique,Quarterly,2021,1,
Global,Hong Kong,Turkey,Quarterly,2021,1,6737
Global,Hong Kong,New Zealand,Quarterly,2021,1,135019
Global,Hong Kong,Morocco,Quarterly,2021,1,1160
Global,Hong Kong,Israel,Quarterly,2021,1,13814
Global,Japan,Mexico,Quarterly,2021,1,43341329
Global,Japan,Peru,Quarterly,2021,1,
Global,Japan,United States,Quarterly,2021,1,8521
Global,United States,Mexico,Quarterly,2021,1,747347574
Global,United States,Peru,Quarterly,2021,1,190846
Global,United States,Dominican Republic,Quarterly,2021,1,25813850
Global,United States,Colombia,Quarterly,2021,1,348175
Global,United States,Peru,Quarterly,2021,1,26261432
Global,United States,South Africa,Quarterly,2021,1,3458903
